sample	chr	hom	start	end	donor
Sim179	10	H1	99473636	147629700	Mo17
Sim179	10	H1	147629701	150873537	B73
Sim179	10	H2	0	150873537	B73
Sim180	10	H1	0	9829277	Mo17
Sim180	10	H1	9829278	138383533	B73
Sim180	10	H1	138383534	150873537	Mo17
Sim180	10	H2	0	149896734	B73
Sim180	10	H2	149896735	150873537	Mo17
Sim181	10	H1	0	150828444	Mo17
Sim181	10	H1	150828445	150873537	B73
Sim181	10	H2	0	150873537	B73
Sim182	10	H1	0	150873537	Mo17
Sim182	10	H2	0	150873537	B73
Sim183	10	H1	0	5521809	B73
Sim183	10	H1	5521810	20933621	Mo17
Sim183	10	H1	20933622	111156372	B73
Sim183	10	H1	111156373	131798544	Mo17
Sim183	10	H1	131798545	132252336	B73
Sim183	10	H1	132252337	143510516	Mo17
Sim183	10	H1	143510517	150873537	B73
Sim183	10	H2	0	133965785	B73
Sim183	10	H2	133965786	141330554	Mo17
Sim183	10	H2	141330555	150873537	B73
Sim184	10	H1	0	150873537	Mo17
Sim184	10	H2	0	142339047	B73
Sim184	10	H2	142339048	150873537	Mo17
Sim185	10	H1	0	150873537	B73
Sim185	10	H2	0	150873537	Mo17
Sim186	10	H1	0	150873537	B73
Sim186	10	H2	0	150873537	Mo17
Sim187	10	H1	0	23343997	B73
Sim187	10	H1	23343998	95560036	Mo17
Sim187	10	H1	95560037	149720255	B73
Sim187	10	H1	149720256	150873537	Mo17
Sim187	10	H2	0	144249335	B73
Sim187	10	H2	144249336	148709582	Mo17
Sim187	10	H2	148709583	150873537	B73
Sim188	10	H1	0	150873537	Mo17
Sim188	10	H2	0	147983227	B73
Sim188	10	H2	147983228	150873537	Mo17
Sim189	10	H1	0	150873537	B73
Sim189	10	H2	0	150873537	Mo17
Sim190	10	H1	0	150738136	B73
Sim190	10	H1	150738137	150873537	Mo17
Sim190	10	H2	0	150873537	Mo17
Sim191	10	H1	0	150873537	B73
Sim191	10	H2	0	6213521	Mo17
Sim191	10	H2	6213522	75381824	B73
Sim191	10	H2	75381825	142265778	Mo17
Sim191	10	H2	142265779	150873537	B73
Sim192	10	H1	0	150873537	B73
Sim192	10	H2	0	150873537	B73
Sim193	10	H1	0	136649764	Mo17
Sim193	10	H1	136649765	147138957	B73
Sim193	10	H1	147138958	150509167	Mo17
Sim193	10	H1	150509168	150873537	B73
Sim193	10	H2	0	144205567	B73
Sim193	10	H2	144205568	150873537	Mo17
Sim194	10	H1	0	148041214	Mo17
Sim194	10	H1	148041215	150873537	B73
Sim194	10	H2	0	140273498	B73
Sim194	10	H2	140273499	148710186	Mo17
Sim194	10	H2	148710187	150873537	B73
Sim195	10	H1	0	150873537	Mo17
Sim195	10	H2	0	149119561	Mo17
Sim195	10	H2	149119562	150873537	B73
Sim196	10	H1	0	150873537	Mo17
Sim196	10	H2	0	116859650	B73
Sim196	10	H2	116859651	150873537	Mo17
Sim197	10	H1	0	102904943	Mo17
Sim197	10	H1	102904944	150873537	B73
Sim197	10	H2	0	150873537	B73
Sim198	10	H1	0	4298779	Mo17
Sim198	10	H1	4298780	150873537	B73
Sim198	10	H2	0	150873537	Mo17
Sim199	10	H1	0	150873537	Mo17
Sim199	10	H2	0	150873537	Mo17
Sim200	10	H1	0	150873537	Mo17
Sim200	10	H2	0	4720115	Mo17
Sim200	10	H2	4720116	135543832	B73
Sim200	10	H2	135543833	150873537	Mo17
Sim201	10	H1	0	7060842	Mo17
Sim201	10	H1	7060843	133895984	B73
Sim201	10	H1	133895985	135351845	Mo17
Sim201	10	H1	135351846	136335503	B73
Sim201	10	H1	136335504	150873537	Mo17
Sim201	10	H2	0	150873537	Mo17
Sim202	10	H1	0	150873537	Mo17
Sim202	10	H2	0	150873537	Mo17
Sim203	10	H1	0	145698579	B73
Sim203	10	H1	145698580	150873537	Mo17
Sim203	10	H2	0	150873537	Mo17
Sim204	10	H1	0	139404554	B73
Sim204	10	H1	139404555	150587375	Mo17
Sim204	10	H1	150587376	150873537	B73
Sim204	10	H2	0	4684986	Mo17
Sim204	10	H2	4684987	142565778	B73
Sim204	10	H2	142565779	150873537	Mo17
Sim205	10	H1	0	150873537	B73
Sim205	10	H2	0	150873537	Mo17
Sim206	10	H1	0	150873537	Mo17
Sim206	10	H2	0	121152017	Mo17
Sim206	10	H2	121152018	141492690	B73
Sim206	10	H2	141492691	141559515	Mo17
Sim206	10	H2	141559516	145907927	B73
Sim206	10	H2	145907928	150873537	Mo17
Sim207	10	H1	0	150873537	B73
Sim207	10	H2	0	150873537	Mo17
Sim208	10	H1	0	150873537	B73
Sim208	10	H2	0	150873537	Mo17
Sim209	10	H1	0	150873537	Mo17
Sim209	10	H2	0	150873537	Mo17
Sim210	10	H1	0	10628175	Mo17
Sim210	10	H1	10628176	108918296	B73
Sim210	10	H1	108918297	150873537	Mo17
Sim210	10	H2	0	10708129	B73
Sim210	10	H2	10708130	140944429	Mo17
Sim210	10	H2	140944430	150873537	B73
Sim211	10	H1	0	150873537	B73
Sim211	10	H2	0	111494308	Mo17
Sim211	10	H2	111494309	150873537	B73
Sim212	10	H1	0	150873537	B73
Sim212	10	H2	0	138669911	Mo17
Sim212	10	H2	138669912	144014648	B73
Sim212	10	H2	144014649	150873537	Mo17
Sim213	10	H1	0	142742934	B73
Sim213	10	H1	142742935	150873537	Mo17
Sim213	10	H2	0	7534628	B73
Sim213	10	H2	7534629	150873537	Mo17
Sim214	10	H1	0	150873537	B73
Sim214	10	H2	0	144778453	B73
Sim214	10	H2	144778454	150873537	Mo17
Sim215	10	H1	0	5848021	B73
Sim215	10	H1	5848022	146759656	Mo17
Sim215	10	H1	146759657	150873537	B73
Sim215	10	H2	0	150873537	Mo17
Sim216	10	H1	0	143639977	B73
Sim216	10	H1	143639978	150873537	Mo17
Sim216	10	H2	0	14714263	B73
Sim216	10	H2	14714264	81235968	Mo17
Sim216	10	H2	81235969	150873537	B73
Sim217	10	H1	0	146291266	Mo17
Sim217	10	H1	146291267	150873537	B73
Sim217	10	H2	0	150873537	B73
Sim218	10	H1	0	150873537	B73
Sim218	10	H2	0	140314104	B73
Sim218	10	H2	140314105	150873537	Mo17
Sim219	10	H1	0	6968419	Mo17
Sim219	10	H1	6968420	130774528	B73
Sim219	10	H1	130774529	150873537	Mo17
Sim219	10	H2	0	149110250	B73
Sim219	10	H2	149110251	150873537	Mo17
Sim220	10	H1	0	143117926	B73
Sim220	10	H1	143117927	150873537	Mo17
Sim220	10	H2	0	142109042	Mo17
Sim220	10	H2	142109043	150873537	B73
Sim221	10	H1	0	150873537	B73
Sim221	10	H2	0	150873537	B73
Sim222	10	H1	0	150873537	Mo17
Sim222	10	H2	0	150873537	Mo17
Sim223	10	H1	0	150873537	Mo17
Sim223	10	H2	0	150873537	B73
Sim224	10	H1	0	148485372	Mo17
Sim224	10	H1	148485373	150873537	B73
Sim224	10	H2	0	150873537	Mo17
Sim225	10	H1	0	150873537	Mo17
Sim225	10	H2	0	150873537	Mo17
Sim226	10	H1	0	150873537	Mo17
Sim226	10	H2	0	135895834	Mo17
Sim226	10	H2	135895835	147419466	B73
Sim226	10	H2	147419467	150873537	Mo17
Sim227	10	H1	0	18811350	B73
Sim227	10	H1	18811351	148117324	Mo17
Sim227	10	H1	148117325	150873537	B73
Sim227	10	H2	0	10768417	B73
Sim227	10	H2	10768418	145510917	Mo17
Sim227	10	H2	145510918	150873537	B73
Sim228	10	H1	0	150873537	Mo17
Sim228	10	H2	0	150873537	Mo17
Sim229	10	H1	0	138023313	Mo17
Sim229	10	H1	138023314	150873537	B73
Sim229	10	H2	0	141927614	B73
Sim229	10	H2	141927615	147638139	Mo17
Sim229	10	H2	147638140	149997339	B73
Sim229	10	H2	149997340	150873537	Mo17
Sim230	10	H1	0	150873537	Mo17
Sim230	10	H2	0	22937730	Mo17
Sim230	10	H2	22937731	147359726	B73
Sim230	10	H2	147359727	148827639	Mo17
Sim230	10	H2	148827640	150070530	B73
Sim230	10	H2	150070531	150873537	Mo17
Sim231	10	H1	0	150873537	B73
Sim231	10	H2	0	146256271	B73
Sim231	10	H2	146256272	150873537	Mo17
Sim232	10	H1	0	90997804	Mo17
Sim232	10	H1	90997805	150873537	B73
Sim232	10	H2	0	6771506	Mo17
Sim232	10	H2	6771507	8906990	B73
Sim232	10	H2	8906991	142098010	Mo17
Sim232	10	H2	142098011	150873537	B73
Sim233	10	H1	0	150873537	Mo17
Sim233	10	H2	0	150873537	Mo17
Sim234	10	H1	0	150873537	B73
Sim234	10	H2	0	150873537	Mo17
Sim235	10	H1	0	145650594	Mo17
Sim235	10	H1	145650595	146654844	B73
Sim235	10	H1	146654845	150873537	Mo17
Sim235	10	H2	0	150873537	B73
Sim236	10	H1	0	145961394	B73
Sim236	10	H1	145961395	150873537	Mo17
Sim236	10	H2	0	149530066	B73
Sim236	10	H2	149530067	150873537	Mo17
Sim237	10	H1	0	128264739	Mo17
Sim237	10	H1	128264740	150873537	B73
Sim237	10	H2	0	122448925	B73
Sim237	10	H2	122448926	139401168	Mo17
Sim237	10	H2	139401169	150873537	B73
Sim238	10	H1	0	145377380	B73
Sim238	10	H1	145377381	150873537	Mo17
Sim238	10	H2	0	133501300	Mo17
Sim238	10	H2	133501301	150873537	B73
Sim239	10	H1	0	141743998	B73
Sim239	10	H1	141743999	148837843	Mo17
Sim239	10	H1	148837844	150873537	B73
Sim239	10	H2	0	143015099	B73
Sim239	10	H2	143015100	143453125	Mo17
Sim239	10	H2	143453126	150873537	B73
Sim240	10	H1	0	5088202	Mo17
Sim240	10	H1	5088203	84006171	B73
Sim240	10	H1	84006172	150873537	Mo17
Sim240	10	H2	0	150873537	B73
Sim241	10	H1	0	74295076	Mo17
Sim241	10	H1	74295077	149799320	B73
Sim241	10	H1	149799321	150873537	Mo17
Sim241	10	H2	0	4783876	Mo17
Sim241	10	H2	4783877	10054820	B73
Sim241	10	H2	10054821	11354087	Mo17
Sim241	10	H2	11354088	134541130	B73
Sim241	10	H2	134541131	150873537	Mo17
Sim242	10	H1	0	150873537	Mo17
Sim242	10	H2	0	145702034	B73
Sim242	10	H2	145702035	150873537	Mo17
Sim243	10	H1	0	150873537	Mo17
Sim243	10	H2	0	132841434	Mo17
Sim243	10	H2	132841435	150873537	B73
Sim244	10	H1	0	144685812	Mo17
Sim244	10	H1	144685813	150873537	B73
Sim244	10	H2	0	138486591	Mo17
Sim244	10	H2	138486592	144296217	B73
Sim244	10	H2	144296218	150873537	Mo17
Sim245	10	H1	0	9601998	B73
Sim245	10	H1	9601999	12966116	Mo17
Sim245	10	H1	12966117	134125025	B73
Sim245	10	H1	134125026	150873537	Mo17
Sim245	10	H2	0	143942377	Mo17
Sim245	10	H2	143942378	150873537	B73
Sim246	10	H1	0	150873537	B73
Sim246	10	H2	0	145686195	B73
Sim246	10	H2	145686196	146497634	Mo17
Sim246	10	H2	146497635	150873537	B73
Sim247	10	H1	0	150873537	B73
Sim247	10	H2	0	150873537	Mo17
Sim248	10	H1	0	150873537	Mo17
Sim248	10	H2	0	150873537	Mo17
Sim249	10	H1	0	150873537	Mo17
Sim249	10	H2	0	72543344	B73
Sim249	10	H2	72543345	150873537	Mo17
Sim250	10	H1	0	150873537	Mo17
Sim250	10	H2	0	150873537	Mo17
Sim251	10	H1	0	150873537	B73
Sim251	10	H2	0	138244592	Mo17
Sim251	10	H2	138244593	149148708	B73
Sim251	10	H2	149148709	150873537	Mo17
Sim252	10	H1	0	150873537	B73
Sim252	10	H2	0	150873537	B73
Sim253	10	H1	0	150873537	Mo17
Sim253	10	H2	0	150873537	B73
Sim254	10	H1	0	150873537	Mo17
Sim254	10	H2	0	150873537	B73
Sim255	10	H1	0	134954373	B73
Sim255	10	H1	134954374	142209562	Mo17
Sim255	10	H1	142209563	148343619	B73
Sim255	10	H1	148343620	150873537	Mo17
Sim255	10	H2	0	10786074	B73
Sim255	10	H2	10786075	144166092	Mo17
Sim255	10	H2	144166093	150873537	B73
Sim256	10	H1	0	132006768	B73
Sim256	10	H1	132006769	142978660	Mo17
Sim256	10	H1	142978661	150873537	B73
Sim256	10	H2	0	150873537	B73
Sim257	10	H1	0	150873537	Mo17
Sim257	10	H2	0	5530492	B73
Sim257	10	H2	5530493	87331036	Mo17
Sim257	10	H2	87331037	150873537	B73
Sim258	10	H1	0	93788220	Mo17
Sim258	10	H1	93788221	99533843	B73
Sim258	10	H1	99533844	150873537	Mo17
Sim258	10	H2	0	150873537	B73
Sim259	10	H1	0	2484193	Mo17
Sim259	10	H1	2484194	117883348	B73
Sim259	10	H1	117883349	150842309	Mo17
Sim259	10	H1	150842310	150873537	B73
Sim259	10	H2	0	130051828	B73
Sim259	10	H2	130051829	147710161	Mo17
Sim259	10	H2	147710162	150873537	B73
Sim260	10	H1	0	150873537	B73
Sim260	10	H2	0	137429085	B73
Sim260	10	H2	137429086	150873537	Mo17
Sim261	10	H1	0	13371212	Mo17
Sim261	10	H1	13371213	78445755	B73
Sim261	10	H1	78445756	150873537	Mo17
Sim261	10	H2	0	4671811	Mo17
Sim261	10	H2	4671812	124989542	B73
Sim261	10	H2	124989543	142532199	Mo17
Sim261	10	H2	142532200	150873537	B73
Sim262	10	H1	0	150855486	B73
Sim262	10	H1	150855487	150873537	Mo17
Sim262	10	H2	0	150873537	B73
Sim263	10	H1	0	126498581	Mo17
Sim263	10	H1	126498582	135527567	B73
Sim263	10	H1	135527568	140438326	Mo17
Sim263	10	H1	140438327	143641692	B73
Sim263	10	H1	143641693	150873537	Mo17
Sim263	10	H2	0	150873537	Mo17
Sim264	10	H1	0	140493070	B73
Sim264	10	H1	140493071	142449472	Mo17
Sim264	10	H1	142449473	150873537	B73
Sim264	10	H2	0	150873537	B73
Sim265	10	H1	0	150873537	Mo17
Sim265	10	H2	0	150873537	Mo17
Sim266	10	H1	0	150873537	Mo17
Sim266	10	H2	0	150873537	Mo17
Sim267	10	H1	0	150873537	Mo17
Sim267	10	H2	0	146903897	Mo17
Sim267	10	H2	146903898	150873537	B73
Sim268	10	H1	0	150873537	Mo17
Sim268	10	H2	0	150873537	B73
Sim269	10	H1	0	150873537	Mo17
Sim269	10	H2	0	150873537	B73
Sim270	10	H1	0	82411237	Mo17
Sim270	10	H1	82411238	148074936	B73
Sim270	10	H1	148074937	149708275	Mo17
Sim270	10	H1	149708276	150873537	B73
Sim270	10	H2	0	5050161	B73
Sim270	10	H2	5050162	149020489	Mo17
Sim270	10	H2	149020490	150873537	B73
Sim271	10	H1	0	150873537	B73
Sim271	10	H2	0	150873537	B73
Sim272	10	H1	0	150873537	B73
Sim272	10	H2	0	150873537	B73
Sim273	10	H1	0	137347584	B73
Sim273	10	H1	137347585	142570135	Mo17
Sim273	10	H1	142570136	148406324	B73
Sim273	10	H1	148406325	150873537	Mo17
Sim273	10	H2	0	150873537	Mo17
Sim274	10	H1	0	138327614	Mo17
Sim274	10	H1	138327615	150873537	B73
Sim274	10	H2	0	150873537	B73
Sim275	10	H1	0	150873537	Mo17
Sim275	10	H2	0	150873537	Mo17
Sim276	10	H1	0	150873537	Mo17
Sim276	10	H2	0	148133099	Mo17
Sim276	10	H2	148133100	150873537	B73
Sim277	10	H1	0	150873537	B73
Sim277	10	H2	0	142223073	Mo17
Sim277	10	H2	142223074	148930662	B73
Sim277	10	H2	148930663	150873537	Mo17
Sim278	10	H1	0	147921653	B73
Sim278	10	H1	147921654	150873537	Mo17
Sim278	10	H2	0	145537535	B73
Sim278	10	H2	145537536	150873537	Mo17
Sim279	10	H1	0	150873537	Mo17
Sim279	10	H2	0	150873537	B73
Sim280	10	H1	0	150873537	Mo17
Sim280	10	H2	0	150873537	Mo17
Sim281	10	H1	0	150873537	Mo17
Sim281	10	H2	0	133777875	Mo17
Sim281	10	H2	133777876	144158950	B73
Sim281	10	H2	144158951	150873537	Mo17
Sim282	10	H1	0	150873537	Mo17
Sim282	10	H2	0	150873537	Mo17
Sim283	10	H1	0	150873537	Mo17
Sim283	10	H2	0	4969515	Mo17
Sim283	10	H2	4969516	150873537	B73
Sim284	10	H1	0	150873537	B73
Sim284	10	H2	0	148516826	Mo17
Sim284	10	H2	148516827	150873537	B73
Sim285	10	H1	0	10879809	B73
Sim285	10	H1	10879810	130170952	Mo17
Sim285	10	H1	130170953	150873537	B73
Sim285	10	H2	0	150873537	B73
Sim286	10	H1	0	143342896	Mo17
Sim286	10	H1	143342897	143410289	B73
Sim286	10	H1	143410290	149893438	Mo17
Sim286	10	H1	149893439	150873537	B73
Sim286	10	H2	0	148448942	Mo17
Sim286	10	H2	148448943	150873537	B73
Sim287	10	H1	0	150873537	B73
Sim287	10	H2	0	150873537	Mo17
Sim288	10	H1	0	150873537	Mo17
Sim288	10	H2	0	135528957	Mo17
Sim288	10	H2	135528958	149536434	B73
Sim288	10	H2	149536435	150873537	Mo17
Sim289	10	H1	0	140871024	B73
Sim289	10	H1	140871025	150873537	Mo17
Sim289	10	H2	0	143848698	B73
Sim289	10	H2	143848699	150873537	Mo17
Sim290	10	H1	0	137981436	B73
Sim290	10	H1	137981437	150256599	Mo17
Sim290	10	H1	150256600	150669918	B73
Sim290	10	H1	150669919	150873537	Mo17
Sim290	10	H2	0	150873537	Mo17
Sim291	10	H1	0	137521374	B73
Sim291	10	H1	137521375	150873537	Mo17
Sim291	10	H2	0	141612732	Mo17
Sim291	10	H2	141612733	150873537	B73
Sim292	10	H1	0	150873537	Mo17
Sim292	10	H2	0	150873537	B73
Sim293	10	H1	0	10824900	Mo17
Sim293	10	H1	10824901	145441195	B73
Sim293	10	H1	145441196	150083415	Mo17
Sim293	10	H1	150083416	150873537	B73
Sim293	10	H2	0	150873537	Mo17
Sim294	10	H1	0	150873537	Mo17
Sim294	10	H2	0	77053227	Mo17
Sim294	10	H2	77053228	150873537	B73
Sim295	10	H1	0	150873537	B73
Sim295	10	H2	0	11001134	B73
Sim295	10	H2	11001135	143929072	Mo17
Sim295	10	H2	143929073	150873537	B73
Sim296	10	H1	0	147472249	Mo17
Sim296	10	H1	147472250	150873537	B73
Sim296	10	H2	0	128637924	B73
Sim296	10	H2	128637925	135259358	Mo17
Sim296	10	H2	135259359	150873537	B73
Sim297	10	H1	0	133689083	Mo17
Sim297	10	H1	133689084	150873537	B73
Sim297	10	H2	0	130230818	B73
Sim297	10	H2	130230819	150873537	Mo17
Sim298	10	H1	0	139452489	Mo17
Sim298	10	H1	139452490	142206171	B73
Sim298	10	H1	142206172	150055120	Mo17
Sim298	10	H1	150055121	150873537	B73
Sim298	10	H2	0	5398860	B73
Sim298	10	H2	5398861	74486781	Mo17
Sim298	10	H2	74486782	143321830	B73
Sim298	10	H2	143321831	150873537	Mo17
Sim299	10	H1	0	8268578	Mo17
Sim299	10	H1	8268579	21465815	B73
Sim299	10	H1	21465816	147731477	Mo17
Sim299	10	H1	147731478	150873537	B73
Sim299	10	H2	0	150873537	Mo17
Sim300	10	H1	0	150873537	Mo17
Sim300	10	H2	0	148544666	Mo17
Sim300	10	H2	148544667	150873537	B73
Sim301	10	H1	0	150873537	B73
Sim301	10	H2	0	74998438	Mo17
Sim301	10	H2	74998439	99665299	B73
Sim301	10	H2	99665300	149934379	Mo17
Sim301	10	H2	149934380	150873537	B73
Sim302	10	H1	0	150873537	Mo17
Sim302	10	H2	0	144378034	B73
Sim302	10	H2	144378035	144476870	Mo17
Sim302	10	H2	144476871	149148177	B73
Sim302	10	H2	149148178	150873537	Mo17
Sim303	10	H1	0	150873537	B73
Sim303	10	H2	0	150873537	B73
Sim304	10	H1	0	3580534	B73
Sim304	10	H1	3580535	5802157	Mo17
Sim304	10	H1	5802158	72994195	B73
Sim304	10	H1	72994196	74406789	Mo17
Sim304	10	H1	74406790	110618660	B73
Sim304	10	H1	110618661	145965692	Mo17
Sim304	10	H1	145965693	150873537	B73
Sim304	10	H2	0	137095395	B73
Sim304	10	H2	137095396	150873537	Mo17
Sim305	10	H1	0	150873537	Mo17
Sim305	10	H2	0	150873537	B73
Sim306	10	H1	0	150873537	B73
Sim306	10	H2	0	150873537	Mo17
Sim307	10	H1	0	150873537	Mo17
Sim307	10	H2	0	150873537	Mo17
Sim308	10	H1	0	150873537	B73
Sim308	10	H2	0	140080713	B73
Sim308	10	H2	140080714	150873537	Mo17
Sim309	10	H1	0	143962256	Mo17
Sim309	10	H1	143962257	143996445	B73
Sim309	10	H1	143996446	146985155	Mo17
Sim309	10	H1	146985156	150873537	B73
Sim309	10	H2	0	150873537	Mo17
Sim310	10	H1	0	150873537	Mo17
Sim310	10	H2	0	150873537	Mo17
Sim311	10	H1	0	139881209	B73
Sim311	10	H1	139881210	150873537	Mo17
Sim311	10	H2	0	1435475	Mo17
Sim311	10	H2	1435476	110605389	B73
Sim311	10	H2	110605390	148561425	Mo17
Sim311	10	H2	148561426	150873537	B73
Sim312	10	H1	0	150873537	B73
Sim312	10	H2	0	150873537	B73
Sim313	10	H1	0	138498706	B73
Sim313	10	H1	138498707	143297268	Mo17
Sim313	10	H1	143297269	143635534	B73
Sim313	10	H1	143635535	150873537	Mo17
Sim313	10	H2	0	150873537	B73
Sim314	10	H1	0	135897678	B73
Sim314	10	H1	135897679	145520863	Mo17
Sim314	10	H1	145520864	150873537	B73
Sim314	10	H2	0	150873537	B73
Sim315	10	H1	0	122715937	B73
Sim315	10	H1	122715938	147807919	Mo17
Sim315	10	H1	147807920	147984164	B73
Sim315	10	H1	147984165	150873537	Mo17
Sim315	10	H2	0	150873537	Mo17
Sim316	10	H1	0	150873537	Mo17
Sim316	10	H2	0	143453835	Mo17
Sim316	10	H2	143453836	150873537	B73
Sim317	10	H1	0	150873537	B73
Sim317	10	H2	0	23389033	Mo17
Sim317	10	H2	23389034	141477512	B73
Sim317	10	H2	141477513	143207134	Mo17
Sim317	10	H2	143207135	146637129	B73
Sim317	10	H2	146637130	149610223	Mo17
Sim317	10	H2	149610224	150873537	B73
Sim318	10	H1	0	10370395	B73
Sim318	10	H1	10370396	150873537	Mo17
Sim318	10	H2	0	148755879	Mo17
Sim318	10	H2	148755880	150873537	B73
Sim319	10	H1	0	3551675	Mo17
Sim319	10	H1	3551676	126344305	B73
Sim319	10	H1	126344306	138502535	Mo17
Sim319	10	H1	138502536	150873537	B73
Sim319	10	H2	0	5085989	B73
Sim319	10	H2	5085990	130190548	Mo17
Sim319	10	H2	130190549	150873537	B73
Sim320	10	H1	0	6237068	B73
Sim320	10	H1	6237069	94044962	Mo17
Sim320	10	H1	94044963	141560049	B73
Sim320	10	H1	141560050	150873537	Mo17
Sim320	10	H2	0	150873537	Mo17
Sim321	10	H1	0	140586552	B73
Sim321	10	H1	140586553	150873537	Mo17
Sim321	10	H2	0	141068176	B73
Sim321	10	H2	141068177	150873537	Mo17
Sim322	10	H1	0	150873537	B73
Sim322	10	H2	0	91696395	Mo17
Sim322	10	H2	91696396	150873537	B73
Sim323	10	H1	0	150873537	B73
Sim323	10	H2	0	148129870	Mo17
Sim323	10	H2	148129871	150873537	B73
Sim324	10	H1	0	150873537	B73
Sim324	10	H2	0	150873537	Mo17
Sim325	10	H1	0	150873537	B73
Sim325	10	H2	0	150873537	B73
Sim326	10	H1	0	127547270	B73
Sim326	10	H1	127547271	150873537	Mo17
Sim326	10	H2	0	78611529	Mo17
Sim326	10	H2	78611530	116986307	B73
Sim326	10	H2	116986308	143285021	Mo17
Sim326	10	H2	143285022	150873537	B73
Sim327	10	H1	0	136518085	Mo17
Sim327	10	H1	136518086	148183013	B73
Sim327	10	H1	148183014	150873537	Mo17
Sim327	10	H2	0	5706766	B73
Sim327	10	H2	5706767	150873537	Mo17
Sim328	10	H1	0	150873537	B73
Sim328	10	H2	0	145842895	B73
Sim328	10	H2	145842896	150440677	Mo17
Sim328	10	H2	150440678	150873537	B73
Sim329	10	H1	0	150873537	Mo17
Sim329	10	H2	0	135668752	Mo17
Sim329	10	H2	135668753	148106098	B73
Sim329	10	H2	148106099	150873537	Mo17
Sim330	10	H1	0	150873537	Mo17
Sim330	10	H2	0	95995954	B73
Sim330	10	H2	95995955	140036114	Mo17
Sim330	10	H2	140036115	150873537	B73
Sim331	10	H1	0	141887838	Mo17
Sim331	10	H1	141887839	150873537	B73
Sim331	10	H2	0	150017011	Mo17
Sim331	10	H2	150017012	150873537	B73
Sim332	10	H1	0	150873537	Mo17
Sim332	10	H2	0	150873537	Mo17
Sim333	10	H1	0	150873537	Mo17
Sim333	10	H2	0	150873537	Mo17
Sim334	10	H1	0	150873537	B73
Sim334	10	H2	0	14311962	B73
Sim334	10	H2	14311963	150873537	Mo17
Sim335	10	H1	0	83860621	Mo17
Sim335	10	H1	83860622	148693653	B73
Sim335	10	H1	148693654	150873537	Mo17
Sim335	10	H2	0	150873537	Mo17
Sim336	10	H1	0	150043760	B73
Sim336	10	H1	150043761	150873537	Mo17
Sim336	10	H2	0	150873537	B73
Sim337	10	H1	0	150873537	B73
Sim337	10	H2	0	6166413	Mo17
Sim337	10	H2	6166414	74854323	B73
Sim337	10	H2	74854324	150873537	Mo17
Sim338	10	H1	0	129694334	Mo17
Sim338	10	H1	129694335	142287064	B73
Sim338	10	H1	142287065	150873537	Mo17
Sim338	10	H2	0	150873537	B73
Sim339	10	H1	0	150873537	Mo17
Sim339	10	H2	0	150873537	B73
Sim340	10	H1	0	133457016	Mo17
Sim340	10	H1	133457017	150873537	B73
Sim340	10	H2	0	75510982	Mo17
Sim340	10	H2	75510983	149672246	B73
Sim340	10	H2	149672247	150873537	Mo17
Sim341	10	H1	0	147459966	Mo17
Sim341	10	H1	147459967	150873537	B73
Sim341	10	H2	0	3821612	B73
Sim341	10	H2	3821613	12063613	Mo17
Sim341	10	H2	12063614	150873537	B73
Sim342	10	H1	0	139420434	Mo17
Sim342	10	H1	139420435	150873537	B73
Sim342	10	H2	0	150873537	Mo17
Sim343	10	H1	0	143098988	B73
Sim343	10	H1	143098989	148595753	Mo17
Sim343	10	H1	148595754	150873537	B73
Sim343	10	H2	0	148005098	Mo17
Sim343	10	H2	148005099	150873537	B73
Sim344	10	H1	0	150873537	Mo17
Sim344	10	H2	0	150873537	Mo17
Sim345	10	H1	0	16516662	Mo17
Sim345	10	H1	16516663	137385274	B73
Sim345	10	H1	137385275	150873537	Mo17
Sim345	10	H2	0	150873537	B73
Sim346	10	H1	0	4757047	B73
Sim346	10	H1	4757048	83780378	Mo17
Sim346	10	H1	83780379	126342656	B73
Sim346	10	H1	126342657	148037317	Mo17
Sim346	10	H1	148037318	149492642	B73
Sim346	10	H1	149492643	150873537	Mo17
Sim346	10	H2	0	125449625	Mo17
Sim346	10	H2	125449626	150873537	B73
Sim347	10	H1	0	150873537	B73
Sim347	10	H2	0	150873537	B73
Sim348	10	H1	0	150873537	B73
Sim348	10	H2	0	150873537	Mo17
Sim349	10	H1	0	150873537	B73
Sim349	10	H2	0	143085837	B73
Sim349	10	H2	143085838	150873537	Mo17
Sim350	10	H1	0	143047047	B73
Sim350	10	H1	143047048	150873537	Mo17
Sim350	10	H2	0	5995439	Mo17
Sim350	10	H2	5995440	146096447	B73
Sim350	10	H2	146096448	146158519	Mo17
Sim350	10	H2	146158520	147333700	B73
Sim350	10	H2	147333701	150873537	Mo17
Sim351	10	H1	0	145658834	B73
Sim351	10	H1	145658835	150873537	Mo17
Sim351	10	H2	0	150873537	Mo17
Sim352	10	H1	0	150873537	B73
Sim352	10	H2	0	150873537	B73
Sim353	10	H1	0	150873537	B73
Sim353	10	H2	0	150873537	Mo17
Sim354	10	H1	0	150873537	Mo17
Sim354	10	H2	0	150873537	Mo17
Sim355	10	H1	0	147652483	B73
Sim355	10	H1	147652484	150873537	Mo17
Sim355	10	H2	0	5616234	Mo17
Sim355	10	H2	5616235	146016901	B73
Sim355	10	H2	146016902	149400070	Mo17
Sim355	10	H2	149400071	149679797	B73
